Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded ,Total Turnover in Lac,No. of Trades 
508956,HBLEAS,XT,4.65,4.65,4.49,4.49,2990,0.13,34
509563,GARWAMAR,X,8.74,8.75,8.74,8.74,1501,0.13,8
506365,CHEMOPH,XT,39.35,39.35,39,39,331,0.13,3
502589,VAPIPPR,XT,66.5,68,63.2,68,204,0.13,7
503772,MODWOOL,X,79.5,81,79.5,80,157,0.13,10
504731,IBRIGST,XT,22.55,22.55,22.1,22.15,573,0.13,9
526865,JAINCO,X,4.1,4.1,3.9,4.1,3236,0.13,17
530055,HRMNYCP,XT,11.99,11.99,11.99,11.99,1100,0.13,1
530695,PRIMEPRO,X,13.2,13.2,12.25,12.25,1041,0.13,11
530609,CARNATIN,X,5.07,5.07,5.07,5.07,2502,0.13,10
532216,HBSTOCK,B,48.2,48.2,47.5,47.6,267,0.13,25
532344,SOFTSOL,XT,132,132,128.6,128.6,102,0.13,2
532507,BAGFILMS,B,4.56,4.59,4.51,4.55,2779,0.13,49
538942,MERCANTILE,X,17.85,18.85,17.3,17.7,745,0.13,25
538918,VANICOM,XT,10.3,10.45,10.11,10.11,1226,0.13,17
532886,SELMCL,T,269.5,269.5,269.5,269.5,49,0.13,15
590115,MOM50,B,180,180,179.51,179.51,70,0.13,7
532764,GEECEE,B,135.1,141,135.1,141,88,0.12,18
538734,CEINSYSTECH,B,144.2,144.2,136.8,137,88,0.12,14
540359,PARMAX,XT,33.55,35.3,33.55,35.1,338,0.12,10
532696,EDUCOMP,Z,2,2.1,2,2.01,5845,0.12,19
532660,VIVIMEDLAB,Z,8.58,8.58,8.58,8.58,1401,0.12,6
532217,SIELFNS,X,12.9,13.5,12.36,12.55,983,0.12,21
530899,ASIAPAK,XT,39.85,39.85,37.9,37.9,312,0.12,6
530249,BRIDGESE,X,6.5,6.57,6.5,6.56,1862,0.12,18
526490,PRATIK,XT,8.67,8.67,8.67,8.67,1385,0.12,5
523373,MINID,XT,18.7,18.7,18,18,648,0.12,11
522289,NMSRESRC,XT,19.9,19.95,18.05,18.85,622,0.12,15
500313,OILCOUNTUB,B,14.95,15.3,14.25,14.65,820,0.12,45
511700,STANCAP,XT,31.05,31.05,31.05,31.05,373,0.12,8
511066,SAKTHIFIN,X,32,32.45,30.1,30.75,380,0.12,19
513629,TULSYAN,X,26.78,26.78,26.78,26.78,452,0.12,5
514280,SANTETX,XT,74,74,68.5,68.5,172,0.12,9
519604,SURFI,XT,12.5,12.5,12.5,12.5,942,0.12,9
519359,POONADAL,X,53.6,54.85,53,54.7,198,0.11,15
514400,GARWSYN,X,8.11,8.51,8.11,8.51,1354,0.11,8
514177,RISHYRN,P,53.2,53.2,53.2,53.2,200,0.11,2
515085,RESTILE,XT,2.8,2.98,2.73,2.75,4024,0.11,6
509449,BHAGWOX,XT,42.05,45.1,42.05,45.05,246,0.11,16
507300,RAVALSUGAR,XT,3512,3600,3512,3600,3,0.11,2
523186,BAPACK,XT,188.9,198.9,188.9,191.45,60,0.11,9
523566,MARBU,X,38,38,36.3,36.5,287,0.11,16
523754,MAHEPC,B,99.85,99.85,98.75,99.05,109,0.11,10
530027,AADIIND,X,3.99,4.14,3.7,3.7,2832,0.11,18
526813,RAGHUNAT,XT,14.15,14.15,13.16,13.2,774,0.11,14
530187,ATHARVENT,X,2.86,2.99,2.85,2.9,3982,0.11,19
530439,SIDDHA,X,4.2,4.63,4.2,4.28,2641,0.11,25
531822,RODIUM,X,50,51.8,45.25,51.25,228,0.11,11
531962,SHREMETAL,XT,30.9,30.9,30.85,30.85,342,0.11,4
531594,INCON,XT,13.89,13.89,12.59,13.85,870,0.11,12
532042,FRONTCORP,X,26.85,27.95,26.85,27.5,424,0.11,8
540174,SOUTHERNIN,XT,16.3,16.3,15.5,15.95,695,0.11,18
539198,CAPFIN,XT,14.2,14.2,14.2,14.2,775,0.11,3
542155,DGL,M,2.59,2.92,2.59,2.92,4000,0.11,2
538537,OMANSH,XT,0.95,0.95,0.88,0.92,12055,0.11,58
535458,NIBL,B,18,19.05,18,18.95,574,0.11,21
535387,LAKHOTIA,XT,21.9,21.9,21.9,21.9,500,0.11,1
538081,HARIAAPL,X,4.75,4.75,4.45,4.6,2450,0.11,52
533203,TARAPUR,B,4,4.22,3.9,4.15,2707,0.11,9
532820,ELAND,X,6.36,7.07,6.36,6.61,1519,0.1,16
532879,SSLEL,XT,130.95,130.95,124.05,124.2,77,0.1,7
534532,LYPSAGEMS,B,5.53,5.53,5.18,5.18,1915,0.1,8
534190,OLPCL,X,3.04,3.04,2.57,2.59,3282,0.1,8
590065,IMPAL,B,711.15,711.15,705,710.5,14,0.1,10
