Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded ,Total Turnover in Lac,No. of Trades 
533096,ADANIPOWER,A,159,163,151,163,6682097,10790.53,50096
532921,ADANIPORTS,A,568,581.4,560.05,579.65,970855,5553.85,22199
500325,RELIANCE,A,2440.4,2449.45,2410.35,2415.3,221415,5378.33,18929
540065,RBLBANK,A,158.65,161.25,157.6,158.85,3166745,5056.63,1574
512599,ADANIENT,A,1641,1685,1561.1,1619.55,307074,4988.62,29126
543320,ZOMATO,A,51.85,55,51.8,54.5,7805714,4175.62,21964
543384,NYKAA,A,140.9,149.5,140.1,143.55,2589676,3763.95,21466
500425,AMBUJACEM,A,349,356,345.65,353.3,1022381,3584.7,16479
500034,BAJFINANCE,A,6438,6441.5,6345.1,6366.7,43229,2764.38,9005
532667,SUZLON,A,8.9,9.09,8.44,8.54,30493860,2680.86,14053
500112,SBIN,A,532.4,534,522.1,525.1,507031,2674.43,11037
532822,IDEA,A,7.18,7.23,6.86,7.08,37868637,2649.36,30663
500470,TATASTEEL,A,112.55,112.75,111.05,112.35,2335671,2618.76,18035
532648,YESBANK,A,16.1,16.75,16.1,16.6,15506194,2549.16,16680
532461,PNB,A,49.7,50.5,49.3,49.5,5070986,2525.78,8733
543458,AWL,A,439,455.1,420.1,429.45,536289,2348.68,18019
500087,CIPLA,A,999,999,956.2,964.05,238130,2302.63,14666
541143,BDL,A,873,925.1,861.4,918.45,252770,2278.4,13932
532947,IRB,A,290,292.35,274.75,283.25,796823,2262.22,3494
500209,INFY,A,1589,1602.45,1582.6,1593.25,134312,2141.62,8429
500180,HDFCBANK,A,1657.55,1668.7,1634.55,1639.8,119852,1981.88,12284
500820,ASIANPAINT,A,2842,2851.9,2814,2827.35,67299,1901.94,8038
532134,BANKBARODA,A,167.55,168.45,163.4,164.3,1133326,1880.47,6012
541450,ADANIGREEN,A,610.9,625,597.5,597.5,310248,1874.83,20153
541154,HAL,A,2640,2643.7,2564.4,2586.8,71938,1865.24,7336
540180,VBL,A,1292,1334.6,1287.15,1307.85,140007,1843.89,10902
532538,ULTRACEMCO,A,7310,7489,7301.25,7426.8,24414,1807.17,4904
500038,BALRAMCHIN,A,375,382,370.5,377.4,473785,1800.55,2535
532221,SONATSOFTW,A,684.1,753,681.6,737.05,245219,1800.52,13592
532555,NTPC,A,167.7,170,167.4,167.8,1033236,1738.6,4595
532155,GAIL,A,96.2,96.45,95.3,95.65,1728407,1658.62,4351
532343,TVSMOTOR,A,1111.95,1136,1104.6,1131.65,136200,1535.63,4228
532540,TCS,A,3506,3522,3475.2,3486.1,43050,1502.88,4247
532755,TECHM,A,1128.9,1157.75,1120.05,1144.1,127198,1457.66,5580
539437,IDFCFIRSTB,A,56.2,56.2,54.8,55,2616385,1445.06,11588
500510,LT,A,2246.9,2251.75,2214.9,2225.15,63302,1413.84,5494
500570,TATAMOTORS,A,441.45,445.2,436.5,442.85,320138,1413.81,7993
540005,LTIM,A,4852.05,4955,4842.5,4887.75,26464,1299.61,5085
526371,NMDC,A,121.25,121.9,118,118.7,1061600,1256.84,4552
517334,MOTHERSON,A,81.9,84.2,81.3,81.9,1516067,1250.06,7127
532368,BCG,A,24.5,25.6,24.4,24.5,4980274,1230.86,6863
512267,MMWL,B,12.7,12.7,11.91,12.05,10258541,1230.54,233
500302,PEL,A,870.05,874.05,840,842.85,140186,1187.37,2632
532281,HCLTECH,A,1106.1,1134.5,1106.1,1115.2,104238,1170.38,5458
500387,SHREECEM,A,25649.45,26915,25586.5,26540.6,4264,1130.99,2008
543412,STARHEALTH,A,511.2,577,511.2,565.35,200588,1091.65,11147
533179,PERSISTENT,A,4910.2,5095.7,4895.6,5063.9,21212,1069.6,3206
500400,TATAPOWER,A,204.9,205.3,202.25,203.8,523128,1065.41,6724
531637,PRAVEG,X,511.8,559.8,511,544.95,191951,1029.05,4871
533339,ZENTEC,B,238.25,253.5,238.25,251.3,411236,1022.28,8125
532627,JPPOWER,A,6.78,7.04,6.75,6.91,14303229,991.13,7471
524715,SUNPHARMA,A,990,992.15,974.75,985.15,96679,951.59,4172
504067,ZENSARTECH,A,266.05,276.85,261.35,271.25,332715,906.88,3003
542920,SUMICHEM,A,428.55,482,428.55,475.2,188134,878.92,6435
500875,ITC,A,384.15,387.45,381.55,384,224297,862.18,4872
535789,IBULHSGFIN,A,113.95,113.95,110.8,111.65,765823,858.89,8093
539254,ADANITRANS,A,887.95,898.3,873.9,873.9,93676,820.28,3424
539310,THINKINK,B,80,81.7,78,80.4,1012709,813.85,866
517174,HONAUT,A,37340.1,37532.75,36560,36767.95,2125,787.19,137
543243,EQUITASBNK,A,59.8,63,58.8,61.9,1260477,781.16,8007
500228,JSWSTEEL,A,725.85,732.3,721.3,722.7,107368,776.86,2090
532848,DELTACORP,A,202.35,203.75,195.65,196.05,393325,776.75,5855
500113,SAIL,A,85.85,86.55,84.9,86.1,901365,774.57,5706
532174,ICICIBANK,A,863.4,866.4,850.45,852.1,88728,762.63,5994
500247,KOTAKBANK,A,1762.4,1766.6,1730,1737.25,43574,761.01,5283
543396,PAYTM,A,623.1,633.3,621.2,630.6,118477,745.48,5192
532605,JBMA,A,558.5,584,558.3,580.45,127683,733.78,5817
500103,BHEL,A,72.1,72.5,70.6,71.55,999392,716.11,4990
530723,ASITCFIN,X,141.1,152,136.65,140,468722,709.56,13
500300,GRASIM,A,1621.3,1649.4,1621.3,1631.85,42848,698.75,2523
500049,BEL,A,96.8,96.8,94.2,94.85,732393,694.28,7238
533106,OIL,A,262.35,263.65,254.9,259.1,264243,681.63,4677
543227,HAPPSTMNDS,A,849.55,925.15,847.8,905.6,75444,681.01,5688
507944,BAJAJST,X,1089,1183,1080,1166.65,57488,655.9,3139
532523,BIOCON,A,232.55,233.25,226.55,227.7,279090,639.19,6503
543257,IRFC,A,28.85,29,28.15,28.45,2222226,632.85,7841
540750,IEX,A,135.6,139.25,135,138.15,452215,621.46,7830
532500,MARUTI,A,8807.05,8850,8675.05,8690.35,7057,617.88,2127
533655,TRITURBINE,A,289.35,305.1,284.7,299.55,207238,617.56,6393
513228,PENIND,B,77.8,81,75.35,80.3,782716,614.91,7680
500114,TITAN,A,2500.8,2507,2466.95,2474.5,24701,613.72,3645
505200,EICHERMOT,A,3285.75,3335.45,3275,3289.7,18514,611.86,2848
526642,MIRZAINT,A,273.05,284.15,273.05,281.85,215111,600.57,4928
543529,DELHIVERY,A,325.05,344.35,325.05,339.9,175228,595.13,6837
539336,GUJGAS,A,477.05,502.95,477.05,499.3,119367,590.1,4012
500410,ACC,A,1832,1861.95,1811.15,1850.75,32125,589.06,3073
541153,BANDHANBNK,A,234.15,238.95,234.15,235.65,245417,582.03,3978
532149,BANKINDIA,A,75.55,76.2,74.8,75.6,768235,580.3,4013
500285,SPICEJET,A,37.55,39.25,37.25,38.35,1473365,566.17,4971
500116,IDBI,A,48.75,50.15,48.75,49.85,1137563,564.93,4940
505872,WPIL,B,1805,1925,1804.25,1894.8,30001,562.04,2369
500295,VEDL,A,314.45,315.75,310.05,310.9,179490,561.56,3942
524000,POONAWALLA,A,315,319.55,310.5,312.1,177171,556.62,3488
500378,JINDALSAW,A,147,151,144.9,149.55,373849,555.84,4900
532430,BFUTILITIE,B,367.6,368.65,361,362,151964,555.01,3436
540376,DMART,A,3535.05,3572,3535.05,3552.7,15451,549.65,3832
500696,HINDUNILVR,A,2515.5,2542.75,2508.7,2510.7,21484,541.61,2133
542649,RVNL,A,68.3,68.75,66.05,66.35,804319,538.47,7269
532488,DIVISLAB,A,2847.95,2919.15,2802,2901.6,18485,533.67,2370
543654,MEDANTA,B,517.45,533.35,508.2,517.75,101439,529.54,5157
530965,IOC,A,80.55,80.95,79.3,79.55,648129,518.75,5412
500670,GNFC,A,535.1,563.25,535.1,553.9,91092,506.66,3907
541729,HDFCAMC,A,1846.3,1916.8,1846.3,1857.2,26990,506.28,3966
540777,HDFCLIFE,A,504.7,522.5,500,507.95,98969,505.43,3711
521064,TRIDENT,A,31.6,32.5,31.45,32.05,1579437,504.94,6188
500877,APOLLOTYRE,A,332.35,333.85,327.5,330.35,152823,504.69,2624
500312,ONGC,A,157.05,157.8,154.45,154.8,320358,500.05,3744
542651,KPITTECH,A,855.9,861,825,827.85,59090,496.48,3104
532215,AXISBANK,A,856.3,860,843.05,846.55,58270,495.61,2587
543284,EKI,A,670,688.2,651,688.2,72202,490.77,1881
500520,M&M,A,1341.35,1354.65,1333.15,1346,35677,480.88,1834
532483,CANBK,A,293.3,296,288,288.9,162001,472.48,2087
532477,UNIONBANK,A,70.6,71.55,69.9,70.35,668456,470.98,3575
539448,INDIGO,A,1883.05,1890.6,1860.25,1881.7,24637,462.71,4277
500010,HDFC,A,2691.05,2703.7,2649.4,2655.2,17096,457.86,1968
532749,ALLCARGO,A,342.05,371,342,363.95,126009,453.69,4765
540699,DIXON,A,2715.1,2749.25,2695,2704.45,16597,452.34,3302
532505,UCOBANK,A,26.15,26.65,25.2,25.45,1742682,450.65,4181
534618,WAAREERTL,X,645,665,612.1,623.7,69170,448.07,1299
532659,IDFC,A,75.35,76.35,74.1,75.85,584092,439.11,4073
500459,PGHH,A,13601.25,13833.55,13601.25,13689.5,3187,436.65,131
524404,MARKSANS,A,69.2,70.95,68.95,70,612582,430.29,3298
532868,DLF,A,364.15,370.45,363,364.75,116128,427.17,2609
543237,MAZDOCK,A,763,770.05,742.95,749.45,56248,426.97,2403
532454,BHARTIARTL,A,780.35,793.45,777.25,779.1,53877,423.48,2113
541019,HGINFRA,A,764.05,768.9,737.15,751.3,55886,420.22,3822
541601,RAJNISH,B,19.7,20.15,19.4,19.45,2147284,419.96,1123
500575,VOLTAS,A,855.6,882.5,850.55,873.2,48254,419.78,2487
532978,BAJAJFINSV,A,1413.95,1425.6,1400.75,1404.95,29673,419.18,2264
538607,TOYAMSL,X,18.45,19.4,17.6,19,2218297,415.59,1132
532187,INDUSINDBK,A,1119,1122.7,1103.8,1108.8,37090,413.37,2050
543590,RHETAN,M,456,470,456,466.2,88000,407.34,32
505537,ZEEL,A,215.3,216,212.8,214.9,189334,406.23,2559
543526,LICI,A,603.55,604.35,597.05,598.55,67722,405.69,2962
500408,TATAELXSI,A,6709.3,6720,6617.65,6669.75,6056,404.59,1451
531209,NUCLEUS,B,555.05,620.1,542.45,576.55,69504,403.58,4054
500690,GSFC,A,129.6,132.75,129.3,131.2,305040,401.27,3963
500331,PIDILITIND,A,2348.95,2348.95,2306.45,2320.1,16936,392.56,4030
532443,CERA,A,6014.95,6490,6014.95,6435.5,6198,392.02,2687
542655,VIKASLIFE,B,4.05,4.08,4,4.01,9465716,383.05,2092
532779,TORNTPOWER,A,507.05,517.7,505.25,511.9,74434,380.31,3109
530005,INDIACEM,A,198.35,201.9,194.3,199.1,191507,379.63,3386
520111,RATNAMANI,A,2145.05,2211.15,2097,2101.7,17974,379.09,2443
540762,TIINDIA,A,2386,2485.75,2375.05,2475.8,15515,377.59,3151
533278,COALINDIA,A,217.4,218.95,216,218.2,172147,375.35,2452
543278,KALYANKJIL,A,110.05,119.85,110.05,118.6,319690,372.34,3265
541557,FINEORG,A,4811.55,4985.9,4811.5,4958.55,7501,370.37,2248
532504,NAVINFLUOR,A,4194,4311.1,4119.75,4287.4,8626,366.64,1873
500104,HINDPETRO,A,232.1,234.9,229.9,232.35,157809,366.13,1728
533758,APLAPOLLO,A,1296,1311,1253,1266.3,28649,363.65,3078
505700,ELECON,A,418.8,422.2,408,419.4,86352,358.57,3066
500495,ESCORTS,A,2090.3,2133,2088.9,2094.45,16924,358.07,3232
507685,WIPRO,A,404.05,407.85,402.25,406.95,87702,355.84,2638
531213,MANAPPURAM,A,109,109.45,107.5,107.85,328169,354.9,4715
500469,FEDERALBNK,A,127.85,127.85,125.35,126.05,278676,352.04,3041
532796,LUMAXTECH,B,231.25,250.85,231.25,244.65,143891,348.4,6948
543272,EASEMYTRIP,A,49.1,49.75,47.6,47.85,713771,345.88,6020
590003,KARURVYSYA,B,100.6,102.4,98.1,101.55,337484,339.87,3612
500093,CGPOWER,A,317.05,323.8,314.45,317.2,105267,336.97,2718
513599,HINDCOPPER,A,106.75,106.75,103.5,104.25,322120,335.98,4062
503806,SRF,A,2312.05,2337.4,2299.5,2310.3,14375,333.34,2372
542753,SEACOAST,X,3.44,3.66,3.35,3.53,9344892,328.92,40747
532898,POWERGRID,A,217.45,217.45,214.2,215.7,151702,327.38,2712
500440,HINDALCO,A,430,435.5,429.4,434.5,75309,325.93,2160
531548,SOMANYCERA,B,554.2,557.2,536.55,550.3,59109,324.6,7328
530549,SHILPAMED,A,291.05,291.9,266.75,271.3,116655,324.54,5262
532939,RPOWER,A,11.11,11.16,10.76,10.97,2894422,315.53,3005
532209,J&KBANK,A,50.05,50.8,48.4,48.6,636403,314.61,3166
524109,KABRAEXTRU,B,579.9,587.3,563.3,581.4,54436,313.94,4684
500153,GANESHBE,B,163.2,175.55,163.2,170.4,182345,310.13,4097
532234,NATIONALUM,A,80.2,81.6,80.2,81.35,380092,308.13,1981
540115,LTTS,A,3693.15,3790,3682.05,3748.05,8107,304.59,1560
505790,SCHAEFFLER,A,2979.95,2990,2915,2933.5,10203,300.15,2504
500243,KIRLOSIND,B,2086.4,2254.15,2086.4,2193.3,13657,299.72,749
532466,OFSS,A,3230.05,3282.9,3226,3235.4,9152,298.31,2182
500390,RELINFRA,A,127.95,127.95,122.6,123.65,236420,293.72,5455
500290,MRF,A,88739.7,89950,88739.7,89110.8,326,291.78,252
507753,TGVSL,B,125.35,125.6,118.4,119.25,237711,288.74,1808
534076,RHIM,A,658.95,664.7,626.75,643.6,45163,288.34,4300
500245,KIRLFER,A,405.5,420.35,398.65,417.35,70685,287.94,1851
543390,POLICYBZR,A,482.1,494.45,482.1,490.3,58819,287.3,2415
540293,PRICOLLTD,A,201,206.5,197.75,205.5,141143,285.32,3266
532809,FSL,A,118.65,119.9,117,119.45,239502,284.46,2475
500002,ABB,A,3160,3225.85,3140.9,3178,8911,284.35,1695
532541,COFORGE,A,4185.55,4356.1,4176.8,4334.45,6645,283.16,1781
532612,INDOCO,B,381.75,381.75,364.1,368.35,75975,281.93,4247
523642,PIIND,A,3290,3345.05,3248,3336.6,8518,281.61,1679
532286,JINDALSTEL,A,593.6,599.95,585,594.9,46645,276.79,1791
524332,BCLIL,B,428.8,461.5,428.8,458.05,61133,272.97,2112
522074,ELGIEQUIP,A,446.85,468,438.25,453.85,59331,271.48,2956
500124,DRREDDY,A,4510.6,4539.45,4465.7,4473.3,6013,270.99,1393
531795,ATULAUTO,B,388,390.2,367.4,369.15,71425,268.95,2698
532670,RENUKA,A,47.15,47.6,46.25,46.55,574402,268.25,3789
534816,INDUSTOWER,A,166.5,168.7,163,164.25,160739,265.62,2418
542904,UJJIVANSFB,A,27.6,27.8,27.1,27.3,959008,264.02,2006
500547,BPCL,A,331.7,333.4,325.7,326,80012,262.79,2807
506401,DEEPAKNI,A,1805,1827.95,1784.05,1809.95,14479,261.74,1593
543591,DREAMFOLKS,B,410.7,446,410.7,427.65,60635,261.68,3301
532371,TTML,A,66.55,66.55,63.55,63.8,407561,261.34,3063
533581,PGEL,A,1327.3,1373.3,1283.7,1297,19630,261.15,2450
500404,SUNFLAG,B,143.15,150.95,138.55,140.55,177818,260.57,3183
539006,PTCIL,A,2950,2997.7,2701.5,2734.85,9138,260,924
543235,ANGELONE,A,1115.2,1118.9,1085,1090.35,23386,255.23,3606
500790,NESTLEIND,A,19049.9,19052,18785.55,18821.05,1350,254.81,679
543273,KMEW,M,1100,1110,1050.05,1069.95,23500,254.26,82
532955,RECLTD,A,115.6,116,113.3,113.55,222200,254.04,2065
531595,CGCL,A,700,712.15,694.85,700.55,36078,252.41,1106
500800,TATACONSUM,A,725.05,727.35,718.75,721.9,34910,251.8,3239
533326,TEXRAIL,A,48.25,48.25,46.7,46.9,530899,251.24,3994
534309,NBCC,A,34.35,34.35,33.1,33.3,748654,250.87,2583
540222,LAURUSLABS,A,327.55,337.15,325.3,331.9,75859,250.8,2924
526263,MOLDTEK,B,227.1,240.7,218.9,236.85,108760,250.78,3987
532508,JSL,A,264.05,269.05,262.55,267.85,93641,249.68,2425
500770,TATACHEM,A,1020,1025,1005,1010.7,24626,249.53,1646
532388,IOB,A,25.9,25.9,25,25.25,978618,248.68,2207
532029,SINDHUTRAD,A,18.4,18.45,17,18.2,1376476,248.68,557
500850,INDHOTEL,A,318.2,319.95,314.2,314.75,78288,247.78,2224
540073,BLS,A,170.45,171.25,160.4,163.95,148453,247.25,3376
500186,HINDOILEXP,A,148,158.2,143.3,144.25,163271,246.92,3982
541988,AAVAS,A,1906.2,2010,1887.1,1910.8,12728,246.78,2571
532529,NDTV,B,222.85,222.85,206.55,209.25,115166,245.05,3562
500477,ASHOKLEY,A,149.05,149.35,146.7,148.45,164113,243.35,1858
514448,JYOTIRES,B,1278.15,1324,1271.1,1293.4,18569,241.98,1963
532432,UNITDSPR,A,772.45,777.05,763.1,765.7,31425,241.96,1998
542012,AAL,B,317.85,319.05,299.95,317.15,78110,241.61,501
524230,RCF,A,111.95,111.95,108.6,109.15,219251,241.28,2102
543428,DATAPATTNS,A,1435.15,1435.15,1335,1347.7,17600,241.03,2161
500251,TRENT,A,1369.95,1369.95,1334,1343.15,17880,240.18,2008
523457,LINDEINDIA,A,3780,3830,3707.25,3808.65,6296,238.46,1213
517146,USHAMART,A,181.05,184.75,178.4,181,132021,238.26,3598
522205,PRAJIND,A,365.8,365.8,354.75,355.8,66290,237.08,2394
508869,APOLLOHOSP,A,4614,4644,4574.3,4612.55,5135,237.07,748
532424,GODREJCP,A,954.9,954.9,923.95,926.45,25089,236.28,1758
542830,IRCTC,A,649.8,652.3,641,641.95,35828,230.84,2051
532790,TANLA,A,675,682.2,655.6,665,34494,229.82,2435
512070,UPL,A,764.45,769.65,755.1,757.45,30106,229.72,1822
532630,GOKEX,A,393.05,427.9,393.05,422.5,55256,229.52,3324
540133,ICICIPRULI,A,414.05,431.4,411.65,420.45,54435,228.97,2627
511218,SHRIRAMFIN,A,1240.05,1261.3,1233.9,1237.65,18356,228.61,1464
532156,VAIBHAVGBL,A,322.55,344.75,322.55,335.6,68040,228.58,3968
531642,MARICO,A,496.35,496.35,486.35,488.7,46644,228.33,927
533155,JUBLFOOD,A,459.95,461.7,451.45,459.2,49121,224.93,1912
538835,INTELLECT,A,458.05,473.95,456,465.4,47882,223.68,2630
543687,DHARMAJ,B,161.5,161.85,155.5,158.45,139944,222.84,3899
540595,TEJASNET,A,611.65,616.95,596.4,601.3,36418,220.41,1796
500550,SIEMENS,A,3200.05,3242,3191.7,3194.85,6853,220.3,1413
532175,CYIENT,A,923.5,947.2,917.65,938.9,23511,220.15,1855
543245,GLAND,A,1300.05,1316.1,1290.05,1305.3,16820,219.38,1842
541233,LEMONTREE,A,78.8,79.05,76.5,76.95,281796,218.17,2924
543270,MTARTECH,A,1765.5,1782,1735,1742.7,12412,216.71,1989
532689,PVR,A,1656.05,1692,1655.35,1658.25,12887,215.85,1445
500336,SURYAROSNI,A,698,704.65,670.5,676.45,31388,215.56,2240
543650,DCXINDIA,B,152,174.15,151.85,171.15,128488,214.98,3777
513023,NAVA,A,262.25,268.9,257,258.85,81492,214.81,1907
533519,L&TFH,A,92.4,92.9,90.7,90.95,232494,213.48,1743
543524,RAINBOW,B,777.45,777.45,718.05,745.5,28728,211.99,3525
500253,LICHSGFIN,A,369.7,369.7,360,360.3,58236,211.37,3004
543308,KIMS,A,1385.05,1397.4,1344.35,1380.8,15343,210.46,1959
500085,CHAMBLFERT,A,293.35,295.9,289.5,291.1,71943,210.15,2429
532832,IBREALEST,A,56.15,56.35,53.75,54.3,379217,208.22,1992
532162,JKPAPER,A,396.15,401.75,392.55,396.35,52244,207.33,1830
533398,MUTHOOTFIN,A,980.05,991.95,979.55,989.9,21037,207.32,2323
535667,IFINSEC,X,25.8,28.5,25.8,26.65,771821,205.69,40
542652,POLYCAB,A,3026.35,3035,2968.55,3002.75,6818,204.95,1212
522287,KALPATPOWR,A,520,529.15,500.45,512.55,40099,204.68,3611
539874,UJJIVAN,A,262,266.85,260.6,262,77838,204.06,2724
532830,ASTRAL,A,1911.15,1943,1897,1900.35,10603,203.44,1593
541179,ISEC,A,460.05,474.55,460,469.3,43287,202.48,1646
539992,LLOYDSTEEL,A,19.15,19.6,18.9,19,1057120,202.38,3044
540173,PNBHOUSING,A,585.1,600.15,577.4,581.2,33815,199.81,1765
531500,RAJESHEXPO,A,770,777,726.35,736.3,26491,198.38,1670
500493,BHARATFORG,A,869.95,874.2,856.3,860.7,22879,198.14,1347
540755,GICRE,A,149.6,149.95,145.3,147.8,134086,197.77,2309
543498,MSUMI,A,50.75,51.65,50.5,51.3,385736,197.23,1975
540767,NAM-INDIA,A,222.35,222.95,218,219.05,89906,197.07,2613
500110,CHENNPETRO,A,245.75,247.15,237.55,241.95,80968,196.92,1275
539398,VISHALBL,B,108.3,108.3,104.05,108.3,180753,195.28,773
543597,VOEPL,M,167,174,167,172.7,114000,194.59,57
512455,LLOYDSME,A,281,284,274.1,277.85,69452,192.56,787
523630,NFL,A,64.05,65.65,63.15,64.35,298058,192.41,2038
590103,NIFTYBEES,B,196.27,197.1,192.9,195.58,97900,192.03,1897
532714,KEC,A,503,503,481,489.25,38728,191.02,2097
532810,PFC,A,148.75,149.45,146.85,147.25,127209,188.21,2002
500339,RAIN,A,165.35,168.2,162.8,164.2,114381,187.96,1748
543426,METROBRAND,A,829,844,815.05,837,22527,186.52,3754
543425,MAPMYINDIA,A,1117.15,1165,1116.1,1160.5,16233,186.21,1820
500825,BRITANNIA,A,4523.15,4544.2,4442.2,4454.15,4157,186.2,803
543228,ROUTE,A,1320.15,1362,1319.6,1326.8,13857,185.69,1371
517354,HAVELLS,A,1226.05,1233,1212,1216.2,15182,185.5,1553
500298,NATPEROX,X,1545.8,1545.8,1460,1478.45,12267,185.11,242
500185,HCC,A,14.75,14.75,14.3,14.4,1278258,184.81,1629
532720,M&MFIN,A,262.45,264.85,259.9,260.3,70340,184.41,1438
543300,SONACOMS,A,458.05,477.75,458.05,472,38926,183.66,1810
526299,MPHASIS,A,2253.95,2255,2211.75,2243.15,8165,182.83,1171
509930,SUPREMEIND,A,2774.95,2784.05,2647.5,2699.5,6759,181.94,1569
524091,CARYSIL,A,501.35,522.3,501.35,512.65,35410,181.18,2408
532296,GLENMARK,A,434.95,435.8,427.6,432.6,41883,181.11,1582
540701,DCAL,A,101.15,109.9,101.15,108.8,167209,178.67,3405
543635,PPLPHARMA,B,91.25,91.6,88.35,88.8,199682,178.23,2251
500660,GLAXO,A,1247.2,1285.85,1241.55,1280.3,14184,178,618
500227,JINDALPOLY,A,643.75,652,640.25,644.3,27544,177.74,3684
532827,PAGEIND,A,39299.95,39299.95,38369.7,38532.1,455,176.53,306
538962,MINDACORP,A,204.1,211,201.4,202.6,85675,175.72,2401
500183,HFCL,A,67.8,68.2,66.95,67.2,259729,175.56,1950
532644,JKCEMENT,A,2849.95,2948,2812.2,2922.4,6082,175.47,1304
532181,GMDCLTD,A,146.9,146.9,141.05,142.05,122624,175.42,1886
500645,DEEPAKFERT,A,645,648.5,632.5,642.45,27310,175.08,1713
539041,SVPHOUSING,M,50.5,50.5,45.7,47,365000,172.41,61
511243,CHOLAFIN,A,775.05,781.8,767.7,769.35,22083,171.01,1067
500096,DABUR,A,533.05,536.3,529.9,534.75,31786,169.65,2052
539150,PNCINFRA,A,315.25,323.5,311,313.5,53514,169.65,2259
543573,SYRMA,B,260.95,263.65,256.3,258.1,65051,169.43,2164
533098,NHPC,A,39.9,40,38.9,39,430148,169.22,1715
543657,ACI,B,625.05,645,615.75,623.3,26587,167.79,2134
540124,GNA,B,892.05,931.45,892.05,921.45,18117,166.9,2155
532777,NAUKRI,A,3526.05,3553.5,3477.65,3509.65,4724,166.16,1064
532754,GMRINFRA,A,39.6,39.75,39,39.1,420482,165.65,1650
524051,POLYPLEX,A,1486.25,1498.05,1472,1485.8,11108,164.69,1868
543066,SBICARD,A,754.05,761,752.7,756.15,21738,164.55,2142
500109,MRPL,A,54.05,54.05,52.9,53.1,308719,164.48,1669
543271,JUBLINGREA,A,453.15,465.85,453.15,458.7,35223,162.97,1946
500271,MFSL,A,710.05,737.35,710.05,718.5,22178,160.66,1427
500032,BAJAJHIND,A,13.46,13.65,13.09,13.12,1201831,159.1,2549
532475,APTECHT,B,360.45,360.45,348.25,350.55,44242,156.86,2018
539302,POWERMECH,B,2175,2175,2067.25,2123.65,7460,156.81,1554
543600,HARSHA,B,369.95,369.95,355.95,357.95,43547,156.47,2622
532468,KAMAHOLD,A,12450,12599.9,12380,12399.4,1253,156.25,330
540377,IFL,B,152.5,153.4,151.7,152.6,101888,155.51,1931
500182,HEROMOTOCO,A,2530.05,2543,2514.95,2527,6145,155.31,1012
506685,ULTRAMAR,B,355,358,347.65,356.4,43800,154.89,598
532762,ACE,A,390.45,390.45,372.05,373.5,40677,154.09,1472
538970,WARDINMOBI,A,58.55,58.55,56.6,56.75,269832,153.76,1805
506852,PRIMO,A,78.7,81.4,73.8,74.45,201020,152.66,1466
534091,MCX,A,1380.05,1408.5,1371.5,1379.1,10884,151.25,1199
500187,AGI,A,358.6,374.55,358.6,362.3,40911,151.17,2091
524816,NATCOPHARM,A,536,554.95,535.55,549.3,27664,150.71,2468
543220,MAXHEALTH,A,439,440.35,426.45,429.15,34832,150.71,1554
542851,GENSOL,M,996,996,945,954.45,15504,150.49,178
531358,CHOICEIN,B,268.05,271.75,258.55,261.65,57290,150.19,458
541956,IRCON,A,54.5,54.8,53.05,53.25,279908,149.84,2623
523704,MASTEK,A,1625.05,1695,1612.5,1673.45,8976,149.25,2091
543311,IPL,A,218.95,220.35,213.05,215.85,68846,148.86,2041
532345,GATI,A,120.95,121.2,116.45,120.55,125508,148.79,1951
505255,GMM,A,1524.05,1531.45,1509.8,1521.45,9693,147.45,988
502986,VTL,A,318,318,307.95,311.15,47129,146.88,1710
522101,KLBRENG-B,XT,85.1,86.9,83.05,85.35,171496,146.49,246
500480,CUMMINSIND,A,1629.95,1629.95,1610,1613.6,9035,146.11,908
500128,ELECTCAST,B,33.5,35.7,33.5,34.35,417824,145.87,1824
532525,MAHABANK,A,27.2,27.2,26.25,26.35,547364,145.69,1578
543523,CAMPUS,B,376.15,379.5,365.9,367.95,39272,145.42,1952
533282,GRAVITA,A,498.55,503.3,481.55,485.4,29493,145.25,1975
540678,COCHINSHIP,A,489,492.75,482,483.7,29740,144.79,2215
500214,IONEXCHANG,A,3260,3306.2,3191.3,3245.65,4448,144.38,1061
539594,MISHTANN,B,8.5,8.54,8.39,8.43,1710310,144.12,3128
543401,GOCOLORS,A,989.4,1022,973.85,1000.4,14216,142.68,3466
501455,GREAVESCOT,A,134.5,134.5,130,132.75,108076,142.51,1972
532400,BSOFT,A,289.2,296,289.1,291.65,48343,141.74,1539
500294,NCC,A,91.85,92.2,90,90.75,155771,141.48,1133
532259,APARINDS,A,2413,2416,2302.3,2323.35,6030,141.37,1250
543277,LXCHEM,A,266.75,266.75,260,261.8,53180,140.05,2937
534758,CIGNITI,B,722,728.4,704.25,705.55,19564,139.57,1440
590051,SAKSOFT,B,148.55,151.75,146.45,147.8,93503,139.37,1470
517271,HBLPOWER,A,99.9,103.65,99.9,103.05,136339,139.36,2039
540395,CHEMCRUX,B,330,330,289.25,306.95,45942,138.76,3684
542216,DALBHARAT,A,1948.7,1960.8,1887,1934.85,7194,138.68,1366
543664,KAYNES,B,862.05,900,855,897,15699,138.52,1644
500257,LUPIN,A,670.05,674.7,658.9,666.85,20651,137.72,1231
540725,SHAREINDIA,A,1194.85,1210.95,1190.9,1199.1,11447,137.38,982
